*** 990 features, best para, dep 5, 5 folds ***
[876]	train-auc:0.869460+0.000980	test-auc:0.788556+0.001951 LB:0.786

*** best 100 features, best para, dep 5, 5folds *** 
[1064]	train-auc:0.867072+0.000609	test-auc:0.788245+0.002079 LB 0.783

*** best 200 features, best para, dep 5, 5folds *** 
[1019]	train-auc:0.875619+0.000436	test-auc:0.790217+0.002200 LB 0.788

*** best 250 features, best para, dep 5, 5folds *** 
[880]	train-auc:0.868202+0.000584	test-auc:0.790015+0.001904 LB 0.787

*** best 300 features, best para, dep 5, 5folds *** 
[754]	train-auc:0.864491+0.000896	test-auc:0.791643+0.002246 LB 0.792

*** best 350 features, best para, dep 5, 5folds *** 
[931]	train-auc:0.875818+0.000996	test-auc:0.790456+0.001853 LB 0.791

*** best 400 features, best para, dep 5, 5folds *** 
[973]	train-auc:0.878774+0.000630	test-auc:0.791135+0.002126

*** best 500 features, best para, dep 5, 5folds *** 
[869]	train-auc:0.875025+0.000329	test-auc:0.791363+0.002511 LB 0.790

*** best 333 features, best para, dep 6, 6folds *** 
[346]	train-auc:0.884488+0.001286	test-auc:0.789332+0.003794

